epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.788,0.79337,3.12369,1.36748,0.8306,0.83044,0.90947,0.75952,0.66658,0.96366,1.22215,0.00998258,0.00332753,0.00998258,0.00332753,0.00998258,0.00332753,0.00998258,0.00332753
2,329.553,0.73531,1.70439,1.27853,0.84597,0.74199,0.89393,0.71526,0.76349,1.0849,1.31465,0.0197848,0.00659492,0.0197848,0.00659492,0.0197848,0.00659492,0.0197848,0.00659492
3,450.488,0.7906,1.49664,1.31436,0.77475,0.69579,0.78187,0.58814,0.94507,1.32169,1.63833,0.0293889,0.00979631,0.0293889,0.00979631,0.0293889,0.00979631,0.0293889,0.00979631
4,568.873,0.79125,1.28881,1.30106,0.91874,0.82496,0.94226,0.77565,0.67357,0.73369,1.22579,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,690.53,0.74018,1.07609,1.25959,0.94394,0.89728,0.96755,0.81921,0.63331,0.54312,1.18246,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,811.141,0.70203,0.94864,1.23745,0.92769,0.88621,0.95311,0.79339,0.69561,0.61113,1.21125,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,930.71,0.67429,0.86871,1.21392,0.95625,0.93087,0.98147,0.85369,0.57294,0.46817,1.07898,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1051.35,0.65051,0.80584,1.19813,0.96502,0.95204,0.98312,0.8663,0.54013,0.40542,1.0524,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1171.64,0.62945,0.76876,1.18217,0.94449,0.94159,0.97917,0.84574,0.58808,0.45351,1.09974,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1294.06,0.61809,0.71739,1.17293,0.9687,0.94375,0.98387,0.8564,0.56126,0.39542,1.06997,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1414.58,0.60614,0.69784,1.16317,0.97475,0.97434,0.99108,0.87678,0.53173,0.34747,1.03693,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1533.34,0.59425,0.66582,1.1535,0.9617,0.96854,0.98959,0.87324,0.52964,0.36907,1.03274,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1654.55,0.58145,0.63841,1.14793,0.97869,0.96963,0.99051,0.88241,0.51354,0.33225,1.01467,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1774.75,0.57956,0.63001,1.14768,0.98087,0.98178,0.99241,0.89016,0.49311,0.30122,0.97975,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1893.74,0.5727,0.6103,1.1435,0.98774,0.97858,0.99315,0.89423,0.47755,0.29448,0.96517,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2014.39,0.5669,0.59913,1.14041,0.9793,0.988,0.99236,0.89307,0.48018,0.30193,0.96791,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2134.88,0.55283,0.57791,1.12822,0.98079,0.98723,0.99081,0.88969,0.49422,0.29934,0.98469,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2253.88,0.54716,0.56927,1.12796,0.98303,0.98195,0.99359,0.89939,0.47038,0.28158,0.94944,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2375.04,0.54454,0.55953,1.12235,0.98793,0.98803,0.9937,0.90342,0.47533,0.27583,0.95699,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2496.68,0.5411,0.55422,1.12146,0.99048,0.99148,0.99412,0.8974,0.47718,0.27034,0.96359,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2613.84,0.53621,0.54097,1.11417,0.98781,0.98334,0.99305,0.90234,0.46614,0.27141,0.95135,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2733.04,0.52571,0.5244,1.10932,0.98086,0.99482,0.99302,0.90158,0.47043,0.26966,0.95975,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2854.43,0.52615,0.51733,1.10701,0.98941,0.98654,0.99402,0.90571,0.45539,0.26063,0.92599,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
